Title,Genre,Budget,ReleaseDate,Popularity,Duration,Director,Actor1,Actor2,Language,Certification,State,Box Office Collection (INR),Population,Urbanization,TheaterCount
Baaghi 3,Action,60000000,6/3/20,7,140,Ahmed Khan,Tiger Shroff,Shraddha Kapoor,Hindi,U/A,Maharashtra,1370000000,10,75,1500
Good Newwz,Comedy,45000000,27/12/19,7.5,132,Raj Mehta,Akshay Kumar,Kareena Kapoor Khan,Hindi,U,Punjab,3180000000,9,78,1400
Tanhaji,Action,70000000,10/1/20,8,135,Om Raut,Ajay Devgn,Saif Ali Khan,Hindi,U,Maharashtra,3670000000,11,70,1600
Angrezi Medium,Comedy,40000000,13/3/20,7.2,140,Homi Adajania,Irrfan Khan,Radhika Madan,Hindi,U/A,Delhi,107200000,9,75,1400
Shakuntala Devi,Drama,65000000,31/7/20,7.4,127,Anu Menon,Vidya Balan,Jisshu Sengupta,Hindi,U/A,West Bengal,20000000,14,60,1300
Dil Bechara,Romance,30000000,24/7/20,7.8,120,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Hindi,U/A,Delhi,190000000,10,72,1200
Malang,Action,50000000,7/2/20,7.3,140,Mohit Suri,Aditya Roy Kapur,Disha Patani,Hindi,U/A,Maharashtra,87000000,11,70,1500
Street Dancer 3D,Dance,96000000,24/1/20,6.8,145,Remo D'Souza,Varun Dhawan,Shradha Kapoor,Hindi,U/A,Delhi,904562500,9,78,1600
War,Action,50000000,2/10/19,7.9,155,Siddharth Anand,Hrithik Roshan,Tiger Shroff,Hindi,U/A,Maharashtra,4750000000,11,70,1700
Article 15,Drama,30000000,28/6/19,7.7,140,Anubhav Sinha,Ayushmann Khurrana,Isha Talwar,Hindi,U,Uttar Pradesh,45000000,14,65,1400
Gully Boy,Drama,40000000,14/2/19,8,155,Zoya Akhtar,Ranveer Singh,Alia Bhatt,Hindi,U,Maharashtra,85000000,10,78,1600
Kesari,Action,50000000,21/3/19,7.5,150,Anurag Singh,Akshay Kumar,Parineeti Chopra,Hindi,U,Punjab,95000000,12,70,1500
Mission Mangal,Drama,60000000,15/8/19,7.8,140,Jagan Shakti,Akshay Kumar,Tapsee Pannu,Hindi,U,Maharashtra,120000000,11,75,1600
Uri: The Surgical Strike,Action,50000000,11/1/19,8,138,Aditya Dhar,Viineet Kumar Singh,Yami Gautam,Hindi,U,Delhi,95000000,10,70,1400
Super 30,Drama,60000000,12/7/19,7.9,155,Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Hindi,U,Bihar,85000000,12,65,1500
Sonchiriya,Drama,35000000,1/2/19,7.4,155,Abhishek Chaubey,Sushant Singh Rajput,Manoj Bajpayee,Hindi,U/A,Madhya Pradesh,50000000,13,68,1400
Luka Chuppi,Romantic,35000000,1/3/19,6.9,130,Laxman Utekar,Kartik Aaryan,Kriti Sanon,Hindi,U,Uttar Pradesh,55000000,12,70,1300
Badla,Thriller,25000000,8/3/19,7.6,120,Sujit Sircar,Amitabh Bachchan,Taapsee Pannu,Hindi,U/A,West Bengal,40000000,14,65,1200
Bell Bottom,Action,55000000,19/8/21,7.6,135,Ranjit M Tewari,Akshay Kumar,Vaani Kapoor,Hindi,U/A,Karnataka,85000000,12,70,1600
Bhuj: The Pride of India,Action,60000000,13/8/21,7.4,140,Abhishek Dudhaiya,Ajay Devgn,Sanjay Dutt,Hindi,U/A,Maharashtra,90000000,10,72,1700
Radhe,Action,50000000,13/5/21,6.9,130,Prabhu Deva,Salman Khan,Disha Patani,Hindi,U/A,Delhi,75000000,8,75,1500
Shamshera,Action,60000000,22/7/22,6.8,145,Karan Malhotra,Ranbir Kapoor,Vaani Kapoor,Hindi,U/A,Rajasthan,95000000,10,70,1600
Attack,Action,40000000,1/2/22,7.2,130,Lakshya Raj Anand,John Abraham,Jacqueline Fernandez,Hindi,U/A,Himachal Pradesh,60000000,9,73,1500
Ek Villain Returns,Thriller,38000000,29/7/22,7,140,Mohit Suri,John Abraham,Arjun Kapoor,Hindi,U/A,Chhattisgarh,70000000,12,75,1500
Major,Action,50000000,27/5/22,7.7,130,Sashi Kiran Tikka,Adivi Sesh,Sobhita Dhulipala,Hindi,U/A,Tamil Nadu,75000000,15,68,1600
Gangubai Kathiawadi,Biography,125000000,25/2/22,7.3,157,Sanjay Leela Bhansali,Alia Bhatt,Ajay Devgn,Hindi,U/A,Maharashtra,209000000,122,55,2000
Brahmastra: Part One – Shiva,Fantasy,300000000,9/9/22,6.5,168,Ayan Mukerji,Ranbir Kapoor,Alia Bhatt,Hindi,U/A,Maharashtra,431000000,122,55,2000
The Kashmir Files,Drama,15000000,11/3/22,8.3,170,Vivek Agnihotri,Anupam Kher,Darshan Kumar,Hindi,A,Jammu and Kashmir,340000000,12,27,1000
Liger,Sports,125000000,25/8/22,4.2,140,Puri Jagannadh,Vijay Deverakonda,Ananya Panday,Telugu,U/A,Andhra Pradesh,60000000,53,29,1200
Sita Ramam,Romance,35000000,5/8/22,8.6,163,Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Telugu,U,Telangana,110000000,35,40,1700
Major,Biography,30000000,3/6/22,7.8,149,Sashi Kiran Tikka,Adivi Sesh,Prakash Raj,Telugu,U/A,Andhra Pradesh,55000000,53,29,1200
RRR,Action,550000000,25/3/22,9,187,S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan,Telugu,U/A,Telangana,1200000000,35,40,1700
Laal Singh Chaddha,Drama,180000000,11/8/22,6.5,159,Advait Chandan,Aamir Khan,Kareena Kapoor,Hindi,U/A,Maharashtra,60000000,122,55,2000
Shamshera,Action,150000000,22/7/22,4.9,158,Karan Malhotra,Ranbir Kapoor,Sanjay Dutt,Hindi,U/A,Maharashtra,63000000,122,55,2000
Thiruchitrambalam,Comedy,25000000,18/8/22,8.1,131,Mithran Jawahar,Dhanush,Nithya Menen,Tamil,U,Tamil Nadu,110000000,68,48,1500
777 Charlie,Adventure,20000000,10/6/22,8.9,136,Kiranraj K,Rakshit Shetty,Sangeetha Sringeri,Kannada,U,Karnataka,51000000,66,39,1300
Vikrant Rona,Action,95000000,28/7/22,7,147,Anup Bhandari,Sudeep,Nirup Bhandari,Kannada,U/A,Karnataka,160000000,66,39,1300
Beast,Action,130000000,13/4/22,5.6,155,Nelson Dilipkumar,Vijay,Pooja Hegde,Tamil,U/A,Tamil Nadu,200000000,68,48,1500
Vikram,Action,110000000,3/6/22,8.4,173,Lokesh Kanagaraj,Kamal Haasan,Vijay Sethupathi,Tamil,U/A,Tamil Nadu,380000000,68,48,1500
Ponmagal Vandhal,Drama,5000000,29/5/20,6.9,120,J.J. Fredrick,Jyothika,Parthiban,Tamil,U/A,Tamil Nadu,8000000,68,48,1500
Malik,Drama,27000000,15/7/21,8.1,161,Mahesh Narayanan,Fahadh Faasil,Nimisha Sajayan,Malayalam,U/A,Kerala,52000000,35,47,1200
Kurup,Crime,35000000,12/11/21,7.4,155,Srinath Rajendran,Dulquer Salmaan,Sobhita Dhulipala,Malayalam,U/A,Kerala,85000000,35,47,1200
Marakkar: Lion of the Arabian Sea,Historical,85000000,2/12/21,6.5,181,Priyadarshan,Mohanlal,Suniel Shetty,Malayalam,U,Kerala,100000000,35,47,1200
